Timestamp,Editor Name,Name of Organization,Short Description of Organization (250 Characters),Organization Website URL,Does this provider offer more than one location in the greater Gainesville area?,Do you want to save your work and come back later to finish? You will be asked this at the bottom of each page.,Contact Name for Organization,Contact Title for Organization,Contact Email for Organization,Contact Phone 1 for Organization,Contact Info 1 Notes for Organization,Contact Phone 2 for Organization,Contact Info 2 Notes for Organization,Do you want to save your work and come back later to finish?,Location Name,Location Address 1,Location Address 2,City,Zip Code,"Location Phone Number 1 Name (ex: Main, office hours)",Location Phone Number 1,"Location Phone Number 2 Name (ex: Main, office hours)",Location Phone Number 2,Location Email,Bus Routes,Do you want to save your work and come back later to finish?,Contact Name for Location,Contact Title for Location,Contact Email for Location,Contact Phone 1 for Location,Contact Info 1 Notes for Location,Contact Phone 2 for Location,Contact Info 2 Notes for Location,Do you want to save your work and come back later to finish?,Frequency of Services,Weekly Schedule,Monday Start Time,Monday End Time,Tuesday Start Time,Tuesday End Time,Wednesday Start Time,Wednesday End Time,Thursday Start Time,Thursday End Time,Friday Start Time,Friday End Time,Saturday Start Time,Saturday End Time,Sunday Start Time,Sunday End Time,Monthly Schedule (ex: third Thursday at 5pm),Ad-hoc Schedule (ex: Home Football Games),Specific Date (Thanksgiving),"Additional Schedule Information (ex: for Catholic Charities and others to put their lunch hours, etc.)",Do you want to save your work and come back later to finish?,Service Types,Service Cost,Service Category: Basic Needs,Service Category: Crisis Events,Service Category: Financial Aid / Legal,Service Category: Food & Nutrition,Service Category: Health,Service Category: Housing,Service Category: Recreation,Service Description (Briefly describe services or programs offered),Do you want to save your work and come back later to finish?,Minimum Age,Maximum Age,Minimum Annual Household Income,Maximum Annual Household Income,Employment Status,Education Achieved,Housing Status,Residency,Gender,Ethnicity,Eligibility Details,Do you want to save your work and come back later to finish?,Application Required?,Application Information,Walk-ins Allowed?,Appointments Available?,Appointments Required?,Appointment Scheduling,Appointment Phone Number,Appointment Email address,Appointment URL,Do you want to save your work and come back later to finish?,United Way Approved?,Languages Available,Translation Services,Do you have any feedback for the myGNV team? Are we missing anything or is anything confusing? How can we improve the service?
6/24/2020 11:31:50,Victoria,A Women's Answer Medical Center ,"Provides free services, including support counseling, pregnancy testing, ultrasounds, pregnancy classes, life management, financial decision-making, nutrition, and STD testing. ",https://www.awomansanswer.net/,No,,Carol Cullen ,Executive Director ,executivedirector@womensanswer.com,(352) 367-2716,Office Number ,(386) 365-0404,Executive director's cell phone number to be used if the office is closed and services are needed ,,,,,,,,,,,,43 (Wasn't too sure) ,,,,,,,,,,Weekly,"Tuesday, Wednesday, Thursday, Friday",9:00:00 AM,3:59:59 PM,9:00:00 AM,3:59:59 PM,9:00:00 AM,3:59:59 AM,9:00:00 AM,3:59:59 AM,9:00:00 AM,3:59:59 AM,,,,,,,,,,"Information (i.e. referrals, educational materials), Professional Services (i.e. medical appointments, legal counseling)",Free,,Violence & Abuse,,Education & Advocacy,"Counseling, Disease specific (Cancer, HIV, Diabetes), Medical, Women’s Health",,,"Support counseling, pregnancy testing, ultrasounds, pregnancy classes, life management, financial decision-making, nutrition, and STD testing ",,,,,,,,,,,,"All services are available regardless of age, race, ethnicity, religion, income, housing status, education achievement level or residency. ",,No,,Yes,Yes,Yes,"In-person at the office, By phone",,,,,No,English,,Make sure to inform the organizations when the app is functioning/available 
6/24/2020 11:50:12,Victoria,Archer Church of Nazarene,"Church that provides a free food-pantry service, as well as free counseling ministry ",https://www.archernaz.com/site/cs/index.asp,No,,Rich Norman  ,Senior Pastor,,(352) 495-2291,,,,,,,,,,,,,,,Unsure,,,,,,,,,,Monthly,Monday,2:00:00 PM,3:59:59 PM,,,,,,,,,,,,,First and Third Monday Each Month ,,,,,"Goods (i.e. food, medication)",Free,,,,Food Pantry / Distribution Site,Counseling,,,"The church provides a free food pantry service every first and third Monday of each month. There are no eligibility requirements. Individuals that are seeking food pantry services will be asked to complete a card, which will inform the church of food preferences, allergies, and dates and times that are preferred to pick-up the food. All bags are made ahead of time to ensure time management and availability. ",,,,,,,,,,,,No eligibility requirements ,,No,,Yes,,No,,,,,,,English,,
6/24/2020 12:10:40,Victoria ,Alachua County Crisis Center ,Crisis and Suicide Prevention Organization ,https://alachuacounty.us/Depts/CSS/CrisisCenter/Pages/CrisisCenter.aspx,No,,"Alexandra Martinez, Ed.S., LMFT",Director ,,(352) 264-6789 ,Clinic's Number  ,(800) 784-2433,National Suicide Hotline ,,,218 SE 24th Street ,,Gainesville,32641,Clinic Number ,(352) 264-6789,National Suicide Hotline Number ,(800) 784-2433,,"3, 7, 11, and 711 ",,,,,,,,,,"Weekly, Monthly","Monday, Tuesday, Wednesday, Thursday, Friday",9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,,,,,,,,"Due to COVID-19, the clinic is working through Telehealth services, which are offered, Monday - Friday from 9:00 AM - 5:00 PM. The National Suicide Hotline Number is available 24-7 ",,"Information (i.e. referrals, educational materials), Professional Services (i.e. medical appointments, legal counseling)",Free,,"Covid-19, Disaster, Eviction, Violence & Abuse",,,"Counseling, Substance Abuse",,,"Provides Telehealth services, including crisis and suicide preventative counseling, crisis intervention, follow-up crisis and suicide prevention counseling care, community education, and a Survivors of Suicide program. That program is offered every first and third Monday each month. The program starts at 7:00 PM.  ",,,,,,,,,,,,No eligibility criteria ,,No,,Yes,Yes,,"In-person at the office, By phone",(352) 264-6789,,,,,"English, Spanish",Always Available,
6/24/2020 12:43:33,Victoria,Alachua County Animal Services,Animal shelter that provides care for lost or abandoned animals. The organization also offers pet adoptions. ,https://alachuacounty.us/Depts/animalServices/Pages/AnimalServices.aspx,No,,,Animal Services Director ,ewilliams@alachuacounty.us,(352) 264-6870,,,,,,3400 NE 53rd Ave,,Gainesville,32609,Office Number,(352) 264-6870,Office Fax Number,(352) 955)-2542,jgrantman@alachuacounty.us,24,,,,,,,,,,"Weekly, Monthly","Tuesday, Wednesday, Thursday, Friday, Saturday",10:30:00 AM,5:29:59 PM,10:30:00 AM,5:29:59 PM,10:30:00 AM,5:29:59 PM,10:30:00 AM,5:29:59 PM,10:30:00 AM,5:29:59 PM,10:30:00 AM,5:29:59 PM,,,,,,"Rabies vaccines are only offered Tuesday-Friday from 2:00 PM - 4:30 PM. Medically necessary euthanasia is offered. However, medical records must be provided. ACAS does not offer boarding or kenneling services to the public. ",,,Free,,,,,,,,"Shelter operations that are offered to the public, include medically necessary euthanasia (Must provide medical records), Rabies vaccinations (No other vaccinations are available to the public, and Rabies vaccines are only offered Tuesday-Friday from 2:00 PM - 4:30 PM), county licenses (animal adoption licenses), microchipping, and pet adoptions. A list of adoptable pets is listed on their website.  

Field operations that are offered to the public, include animal cruelty investigations, quarantine of biting animals, nuisance animal complaints, humane education, trapping services for sick, injured or possibly Rabies exposed animals, dangerous dog investigations, sick or injured animals, dog-at-large complaints, Rabies control, complaints for failure to remove animal feces, complaints of failure to confine animals in estrus, animal establishment inspections, and emergency assistance for public safety agencies.  

Services that are offered in-house, include shelter and basic veterinary treatment and vaccinations for sick, injured stray animals waiting for adoption, shelter and care for stray/unwanted animals waiting for adoption, and spay/neuter surgery services for animals that have been adopted by ACAS (Not offered to the public). 
 ",,,,,,,,"Rent, Own","City of Gainesville, Alachua County",,,"A valid picture ID (driver's license or Florida identification card) is required to complete an application. If the ID does not have the current address, a bill or piece of mail verifying the new physical address must be provided. 

You must verify that your pet has a current Rabies vaccination. All adoptable animals will receive the Rabies vaccination prior to being adopted. If you reside in Alachua County, your dog must have a current license.  ",,Yes,"Applications are taken on a first-come, first-serve basis. If others have applied prior to your application, they are first in line. Applications must be complete, and approved, prior to adopting any pets. ",Yes,,,,,,,,,"English, Spanish",Always Available,
6/24/2020 13:35:22,Victoria,The Arc of Alachua County ,"Community-based organization that is committed to providing a continuum of exemplary services, supports, and advocacy to assure that people with developmental disabilities can enjoy respect and dignity and be full participants within the community. ",https://www.arcalachua.org/,No,,Mark Swain ,Executive Director ,mswain@arcalachua.org,(352) 334-4060  Ext. 123 ,,,,,,3303 NW 83rd Street ,,Gainesville,32606,Main Phone Number ,(352) 334-4060,Main Fax Number ,(352) 334-4059,,Unknown ,,Johnny Adams,Director of Programs ,jadams@arcalachua.org,(352) 334-4060  Ext: 104,,,,,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00:00 AM,3:59:59 PM,8:00:00 AM,3:59:59 PM,8:00:00 AM,3:59:59 PM,8:00:00 AM,3:59:59 PM,8:00:00 AM,3:59:59 PM,,,,,,,,"During the COVID-19 pandemic, the office is currently closed. They are only providing services via telephone or email until further notice. ",,"Information (i.e. referrals, educational materials), Professional Services (i.e. medical appointments, legal counseling)",Free,"Education, Jobs",,,,,Transitional,"Classes, Neighborhood Events","Services include, residential settings, transitional living, supported independent living, sheltered employment, mobile work crews, supported employment, community inclusion, and behavioral support. 

Adult Day programs, which offer an opportunity for individuals to acquire and improve skills that will empower them to access activities and relationships of their choice. The Adult Day Training program offers individuals opportunities for work, education, community integration, recreation, and socialization. During these programs, individuals are taught skills needed to work in the community or in the onsite workshop. There are Adult Basic Education classes that are offered through the Alachua County School Board, which are available 4-6 hours per day (During office hours). Individuals may choose the classes that they would like to take based on their interests or needs. Classes that are offered, include cooking, math, reading and writing, personal safety, self-care skills, and arts and crafts. 

There is vocational training offered from a variety of training sites, which include assembly and packaging, general recycling services, secure document destruction, e-waste recycling, and supported employment program. All vocational training inquiries should be directed to Kim Johnson, Arc-2-Work Manager at (352) 334-4060  Ext: 110. 

Local, social gathering events are posted on their website via Arc Calendar. 

LiveScan Fingerprinting, Screening and Photo Capture services are provided. Information is included on their website for scheduling, required documentation, and fees. ",,,,,,,,,Alachua County,,,Adults and children with developmental disabilities ,,,,Yes,,,,,,,,,"English, Spanish",Always Available,
6/24/2020 14:40:27,Victoria,Humane Society of North Central Florida - North Campus,"Community-based organization that provides resources for pets and pet owners by eliminating needless euthanasia of healthy, treatable pets by providing adoption and fostering services. ",https://www.humanesocietyncfl.org/,Yes,,Chelsea Bower,Associate Director ,,(352) 373-5855,,,,,Human Society of NCFL - North Campus,4205 NW 6th Street ,,Gainesville,32609,North Campus Main Phone Number ,(352) 373-5855,,,,,,,,,,,,,,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00:00 AM,6:00:00 PM,8:00:00 AM,6:00:00 PM,8:00:00 AM,6:00:00 PM,8:00:00 AM,6:00:00 PM,8:00:00 AM,6:00:00 PM,,,,,,,,"Due to the COVID-19 pandemic, hours are subject to change. 

Thrift Store Hours: Tuesday - Saturday, 10:00 AM - 6:00 PM 
Thrift Store Donation Hours: Tuesday - Saturday, 10:00 AM - 4:00 PM
Adoption Hours: Thursday - Sunday, 12:00 PM - 6:00 PM 
Vaccine Clinic Hours: Tuesday - Thursday, 10:00 AM - 5:00 PM and Wednesday, 1:00 PM - 4:00 PM 
Operation Petsnip Spay and Neuter Clinic: 8:00 AM - 5:30 PM  (Contact information (352) 373-5855  Ext. 713) ",,"Information (i.e. referrals, educational materials)","Free, Discounted",,,,,,,,"Pet adoption and fostering services, spay and neutering procedures, vaccinations, and a thrift store. ",,,,,,,,,Alachua County,,,"An adoption application must be completed and approved prior to adopting a pet. Some [adoptable] pets may require an adoption fee, which will be indicated during the adoption process. ",,Yes,Applications must be completed and approved prior to adopting any pet(s) ,Yes,,,,,,,,,English,,
6/24/2020 14:48:14,Victoria ,Humane Society of North Central Florida - South Campus,"Community-based organization that provides resources for pets and pet owners by eliminating needless euthanasia of healthy, treatable pets by providing adoption and fostering services. ",https://www.humanesocietyncfl.org/,Yes,,Chelsea Bower ,Associate Director ,,(352) 373-5855,,,,,Humane Society of North Central Florida - South Campus,5403 SW Archer Road ,,Gainesville,32608,Humane Society of NCFL South Campus Mainline ,(352) 692-4773,,,,Unknown,,,,,,,,,,"Weekly, Monthly",,,,,,,,,,,,,,,,,,,This office is currently closed due to the COVID-19 pandemic. Hours of operation and services are subject to change once the office is operational. All inquiries should be directed to the North Campus at this time. ,,"Information (i.e. referrals, educational materials)","Free, Discounted",,,,,,,,Pet adoption and fostering services ,,,,,,,,,Alachua County,,,"Application must be completed and approved prior to adopting any pet(s). Some [adoptable] pets may require an adoption fee, which will be indicated prior to the adoption process. Renters must have prior approval from their landlord before adopting. ",,Yes,Must be completed and approved prior to adopting any pet(s) ,,,,,,,,,,English,,This information will need to be updated after COVID-19 
6/29/2020 15:44:18,Dieu Tran,George and Cabrera Immigration Attorneys ,"Legal consultation and services for immigration, immigration law, naturalization and asylum, green card, temporary and permanent visas, deportation defense, criminal convictions, and hardship waivers.",http://www.georgeandcabrera.com,No,,Yamilette Martinez-Suarez,Front Desk Assistant,info@georgeandcabrera.com,3523783634,,,,,Gainesville,"4400 NW 23rd Avenue, Suite E",,Gainesville,32606,Main,3523783634,,, info@georgeandcabrera.com,"10, 43",,,,,,,,,,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,,,,,,,,Fridays = appointment only ,,,,"Information (i.e. referrals, educational materials), Professional Services (i.e. medical appointments, legal counseling)","Free, Discounted",,,"Immigration, Legal & Pro Bono",Education & Advocacy,,,,"Citizenship & Naturalization: Adjustment of Status, Green Card, Residential Status

Visas & Asylum: Temporary Visas for business or educational purposes, Specialty Occupations, Academic Studies, Practical Studies, Fiancé, Political Asylum, U-Visas (Domestic Violence)

Deportation Defense: Undocumented Entries, Visa Overstay, Working without authorization, Criminal convictions
",,,,,,,,,,,,No specific eligibility details. All clients from all backgrounds are welcome. ,,No,,Yes,Yes,Yes,"In-person at the office, By phone, On website",3523783634,info@georgeandcabrera.com,http://www.georgeandcabrera.com/contact-us/,,No,"English, Spanish",Always Available,
6/29/2020 16:09:35,Dieu Tran,Girls on the Run,"Girls on the Run: 3rd-5th grade
Heart and Sole: 6th-8th grade
Camp GOTR: 3rd-5th grade
Promotes girls' development and strives to inspire girls to live joyful, healthy and confident lifestyles through exercise",https://www.alachuagotr.org,Yes,,Deidre Dodd,Alachua County Coordinator,deidre.dodd@girlsontherun.org,3523187831,,,,,Main Office,PO BOX 142941,,Gainesville,32614,Office,3523187831,,,https://www.alachuagotr.org/our-locations,,,Deidre Dodd,,deidre.dodd@girlsontherun.org,3523187831,Contact Deidre for information as locations and hours vary ,,,,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,,,,,,,,,,,,,,Hours depend on the location. Location may vary. All locations are currently closed due to COVID-19 ,,,"Free, Discounted",,,,,,,Camps & Programs,"Trained coaches lead small teams through our research-based curricula which includes dynamic discussions, activities and running games. Through a ten-week program, girls in 3rd-8th grade develop essential skills to help them navigate their worlds and establish a lifetime appreciation for health and fitness. The program offers a celebratory 5K event at the end of each season. ",,8,14,,,Student,Grades 1-11,,Alachua County,,,Program is offered to 3rd-8th grade girls. Income does not affect eligibility but it affects pricing. ,,Yes,Application can be found at https://www.alachuagotr.org/Register-Now,No,Yes,Yes,"In-person at the office, By phone, On website",,,https://www.alachuagotr.org/Register-Now,,No,"English, Others Upon Request",,Locations and registration are currently closed until further notice 
8/12/2020 17:42:04,Beatrice Dorestil,HealthStreet,"HealthStreet is a Community Engagement Program that provides community members with opportunities to be involved in research studies, while offering free medical and social services.",http://healthstreet.program.ufl.edu/,No,,Beatrice Dorestil,Director of Operations,kerlande24@ufl.edu,352-294-4880,,,,,HealthStreet,2401 SW Archer Rd,,Gainesville,32608,Main,352-294-4880,,,HealthStreet@ufl.edu,"1, 9, 12, 35, 38",,,,,,,,,,"Weekly, Ad-hoc","Monday, Tuesday, Wednesday, Thursday, Friday",9:59:59 AM,8:00:00 PM,9:59:59 AM,6:59:59 PM,9:59:59 AM,6:00:00 PM,9:59:59 AM,6:00:00 PM,9:59:59 AM,3:59:59 PM,,,,,,Every Wednesday and Friday from 1-4pm,,,,"Information (i.e. referrals, educational materials)",Free,Clothing,,,,,,"Classes, Computers & Labs","Clothing Closet, Toiletry Pantry, Narcan nasal spray and Deterra Deactivation pouches",,18,100,0,,"Employed full time, Employed part time, Unemployed, Student, Volunteer, Retired, Homemaker, Self-employed, Unable to work","Grades 1-11, 12th Grade (No Diploma), Regular High School Diploma, GED or alternative credential, Some college credit, Vocational Certificate, Associate’s Degree, Bachelor’s Degree, Master’s Degree, Doctorate Degree","Homeless, In Shelter, Rent, Own, Other","City of Gainesville, Alachua County","Female, Male, Non-Binary","Native American or Alaskan Native, White or Euro-American, Black, Afro-Caribbean, or African American, Latinx or Hispanic American, Middle Eastern or Arab American, South Asian or South Asian American, East Asian, South East Asian or Asian American, Native Hawaiian, Other Pacific Islander or Pacific Islander American",HealthStreet free and open to everyone,,Yes,Free intake process,Yes,Yes,No,"In-person at the office, By phone, On website",352-294-4880,HealthStreet@ufl.edu,http://healthstreet.program.ufl.edu/,,Yes,"English, Others Upon Request",By Appointment Only,"Please update the information for HealthStreet with the information I just included, thanks."
